               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.043607,            0.014286,            0.019202,             0.77102,              0.7387,             0.86286,             0.41673,            0.019418,           0.0051874,           0.0056225,           0.0090298,           0.0090298,           0.0090298
                  51,            0.048689,            0.012833,            0.018359,             0.83818,             0.92607,             0.94058,             0.44541,            0.014542,           0.0060765,           0.0047308,             0.00901,             0.00901,             0.00901
                  52,            0.041827,            0.012046,            0.022751,             0.62691,             0.82832,             0.83494,             0.33768,             0.01981,           0.0066094,           0.0045816,           0.0089902,           0.0089902,           0.0089902
                  53,            0.051765,             0.01123,            0.017313,             0.87071,             0.89899,             0.97463,             0.62931,            0.013352,           0.0064061,           0.0042939,           0.0089704,           0.0089704,           0.0089704
                  54,            0.039832,            0.011748,            0.017295,                0.74,              0.8574,             0.80555,             0.37407,            0.013755,           0.0060462,            0.004182,           0.0089506,           0.0089506,           0.0089506
                  55,             0.05133,            0.014053,            0.015771,              0.8747,             0.82338,             0.88517,             0.38531,            0.016709,           0.0062929,           0.0038116,           0.0089308,           0.0089308,           0.0089308
                  56,            0.046738,            0.010291,            0.015523,             0.76276,             0.89975,             0.90707,             0.46479,             0.01715,           0.0059125,           0.0032522,            0.008911,            0.008911,            0.008911
                  57,            0.044936,            0.011537,            0.014598,             0.79414,             0.82155,             0.92391,              0.5174,            0.012063,           0.0061778,           0.0041569,           0.0088912,           0.0088912,           0.0088912
                  58,            0.042042,            0.012342,            0.018648,             0.68228,             0.81096,             0.92018,             0.49536,            0.017934,           0.0066288,           0.0036405,           0.0088714,           0.0088714,           0.0088714
                  59,            0.052454,            0.010316,            0.013567,             0.98772,             0.93026,             0.98605,              0.5103,            0.015368,           0.0058068,           0.0030188,           0.0088516,           0.0088516,           0.0088516
                  60,             0.04255,            0.012867,            0.012476,             0.72442,             0.73308,             0.81015,             0.42707,            0.014266,           0.0054577,           0.0048881,           0.0088318,           0.0088318,           0.0088318
                  61,            0.048768,           0.0092766,            0.011681,             0.35927,             0.74837,             0.70586,             0.30467,            0.022986,           0.0044109,           0.0086704,            0.008812,            0.008812,            0.008812
                  62,            0.052275,            0.011833,            0.012583,             0.36734,             0.85464,             0.70195,             0.34915,            0.016132,           0.0047891,           0.0096626,           0.0087922,           0.0087922,           0.0087922
                  63,            0.041613,             0.00796,            0.011915,             0.48907,             0.52519,             0.57438,             0.31259,            0.016776,           0.0054429,            0.011838,           0.0087724,           0.0087724,           0.0087724
                  64,            0.041343,            0.014035,            0.012074,             0.41355,             0.80702,             0.61259,              0.3252,            0.014534,           0.0040832,            0.011394,           0.0087526,           0.0087526,           0.0087526
                  65,             0.04095,            0.010018,            0.019892,             0.43211,             0.94506,              0.6026,             0.22956,            0.014911,           0.0038329,            0.013388,           0.0087328,           0.0087328,           0.0087328
                  66,            0.038918,            0.011777,            0.015403,             0.33021,             0.85714,             0.47369,              0.2838,            0.013151,           0.0050624,            0.013936,            0.008713,            0.008713,            0.008713
                  67,             0.04729,            0.011973,            0.014618,             0.31847,             0.61905,             0.48773,             0.18063,            0.014989,           0.0051924,             0.01558,           0.0086932,           0.0086932,           0.0086932
                  68,             0.04682,            0.013613,            0.014672,              0.3449,             0.59921,             0.51485,             0.26517,            0.012733,           0.0056748,            0.015684,           0.0086734,           0.0086734,           0.0086734
                  69,            0.041348,            0.010815,            0.011422,             0.21115,                 0.5,              0.5533,             0.28621,             0.01482,           0.0056748,            0.016005,           0.0086536,           0.0086536,           0.0086536
                  70,            0.044412,            0.013717,            0.011245,             0.86728,             0.36842,             0.69919,             0.26932,            0.014275,            0.005906,            0.016501,           0.0086338,           0.0086338,           0.0086338
                  71,             0.04792,            0.010222,              0.0138,             0.87903,             0.31579,             0.69252,             0.34715,             0.01361,           0.0062654,            0.017107,            0.008614,            0.008614,            0.008614
                  72,            0.043426,           0.0077898,           0.0088852,             0.64071,             0.36842,             0.31031,             0.18061,            0.015726,           0.0064216,            0.017438,           0.0085942,           0.0085942,           0.0085942
                  73,            0.045964,            0.012788,            0.013709,             0.77188,             0.26316,             0.48681,             0.18421,            0.016891,           0.0056135,            0.015953,           0.0085744,           0.0085744,           0.0085744
                  74,            0.039303,           0.0083438,            0.011456,             0.75112,             0.34211,             0.36143,             0.19198,            0.014988,           0.0066455,            0.016031,           0.0085546,           0.0085546,           0.0085546
                  75,            0.037063,            0.010035,           0.0098113,             0.29027,             0.54511,             0.48418,             0.19734,            0.017841,           0.0056605,            0.015564,           0.0085348,           0.0085348,           0.0085348
                  76,            0.050521,            0.011898,            0.017663,             0.40908,             0.57899,             0.56854,             0.34637,            0.012659,           0.0059268,            0.014121,            0.008515,            0.008515,            0.008515
                  77,             0.03988,              0.0132,           0.0090333,             0.51906,              0.7594,             0.70221,             0.35614,            0.013148,           0.0051118,             0.01084,           0.0084952,           0.0084952,           0.0084952
                  78,            0.041151,            0.011289,           0.0096937,             0.59658,             0.90174,             0.73445,             0.39132,            0.011682,           0.0049796,           0.0069195,           0.0084754,           0.0084754,           0.0084754
                  79,            0.037449,            0.011444,            0.010832,             0.93367,             0.80841,             0.93992,             0.55259,            0.011251,           0.0045889,           0.0045249,           0.0084556,           0.0084556,           0.0084556
                  80,            0.042246,           0.0094767,           0.0087288,             0.95143,             0.62182,             0.81693,             0.50824,            0.011279,           0.0048839,           0.0045573,           0.0084358,           0.0084358,           0.0084358
                  81,            0.035266,           0.0099167,            0.010325,             0.74872,             0.78997,              0.8447,             0.39616,            0.015243,           0.0049551,           0.0046611,            0.008416,            0.008416,            0.008416
                  82,             0.03832,           0.0082815,           0.0072463,             0.89994,             0.69674,             0.86739,             0.47397,            0.011823,           0.0049758,           0.0043741,           0.0083962,           0.0083962,           0.0083962
                  83,             0.03163,           0.0087731,           0.0077367,             0.85502,             0.91487,             0.93954,             0.68264,            0.010547,           0.0051817,           0.0026167,           0.0083764,           0.0083764,           0.0083764
                  84,            0.037417,           0.0098493,            0.010351,             0.97411,             0.96789,             0.98698,             0.63721,           0.0099553,           0.0056483,           0.0019585,           0.0083566,           0.0083566,           0.0083566
                  85,            0.032728,           0.0098758,            0.011312,             0.94012,             0.88095,             0.97367,             0.52909,            0.013102,           0.0057828,           0.0019868,           0.0083368,           0.0083368,           0.0083368
